list-none-none,1,10,1,30,268032,8934
list-none-none,1,100,1,300,331345,1104
list-none-none,1,1000,1,3000,4273116,1424
list-none-none,1,10000,1,30000,399403968,13313
list-none-none,1,20000,1,60000,1577938626,26298
list-none-none,2,10,1,60,292042,4867
list-none-none,2,100,1,600,498190,830
list-none-none,4,1,1,12,335334,27944
list-none-none,4,10,1,120,291775,2431
list-none-none,8,1,1,24,1096285,45678
list-none-none,12,1,1,36,1181572,32821
list-i-none,2,1,1,6,293783,48963
list-d-none,2,1,1,6,304030,50671
list-il-none,2,1,1,6,266796,44466
list-dl-none,2,1,1,6,319229,53204
list-d-none,2,2,1,12,282819,23568
list-il-none,2,2,1,12,277365,23113
list-dl-none,2,2,1,12,312312,26026
list-i-none,2,4,1,24,331012,13792
list-d-none,2,4,1,24,281308,11721
list-dl-none,2,4,1,24,279328,11638
list-d-none,2,8,1,48,271186,5649
list-il-none,2,8,1,48,332119,6919
list-dl-none,2,8,1,48,313826,6538
list-d-none,2,16,1,96,286272,2982
list-dl-none,2,16,1,96,405580,4224
list-d-none,2,32,1,192,305703,1592
list-dl-none,2,32,1,192,707468,3684
list-i-none,4,1,1,12,327530,27294
list-d-none,4,1,1,12,290085,24173
list-il-none,4,1,1,12,307052,25587
list-dl-none,4,1,1,12,296401,24700
list-i-none,4,2,1,24,310839,12951
list-d-none,4,2,1,24,365560,15231
list-il-none,4,2,1,24,318409,13267
list-dl-none,4,2,1,24,304028,12667
list-d-none,4,4,1,48,289505,6031
list-d-none,4,8,1,96,324690,3382
list-dl-none,4,8,1,96,383703,3996
list-d-none,4,16,1,192,305069,1588
list-dl-none,4,16,1,192,479806,2498
list-dl-none,4,32,1,384,956753,2491
list-d-none,8,1,1,24,867986,36166
list-il-none,8,1,1,24,446100,18587
list-dl-none,8,1,1,24,407362,16973
list-i-none,8,2,1,48,412379,8591
list-d-none,8,2,1,48,458461,9551
list-il-none,8,2,1,48,497768,10370
list-d-none,8,4,1,96,1182864,12321
list-i-none,12,1,1,36,499539,13876
list-d-none,12,1,1,36,439160,12198
list-il-none,12,1,1,36,506857,14079
list-dl-none,12,1,1,36,451580,12543
list-d-none,12,2,1,72,425042,5903
list-dl-none,12,2,1,72,488596,6786
list-d-none,12,4,1,144,514248,3571
list-il-none,12,4,1,144,608660,4226
list-dl-none,12,4,1,144,486609,3379
list-dl-none,12,8,1,288,665861,2312
list-i-none,2,1,1,6,283675,47279
list-i-m,2,1,1,6,268231,44705
list-i-s,2,1,1,6,275886,45981
list-d-none,2,1,1,6,290753,48458
list-d-m,2,1,1,6,248730,41455
list-d-s,2,1,1,6,237226,39537
list-il-none,2,1,1,6,284870,47478
list-il-m,2,1,1,6,268633,44772
list-il-s,2,1,1,6,260326,43387
list-dl-none,2,1,1,6,263683,43947
list-dl-m,2,1,1,6,272947,45491
list-dl-s,2,1,1,6,269847,44974
list-i-m,2,2,1,12,285297,23774
list-i-s,2,2,1,12,263537,21961
list-d-none,2,2,1,12,263913,21992
list-d-m,2,2,1,12,251989,20999
list-d-s,2,2,1,12,285005,23750
list-il-none,2,2,1,12,275059,22921
list-il-m,2,2,1,12,888138,74011
list-il-s,2,2,1,12,306657,25554
list-dl-none,2,2,1,12,307646,25637
list-dl-m,2,2,1,12,315718,26309
list-dl-s,2,2,1,12,252520,21043
list-i-m,2,4,1,24,276697,11529
list-i-s,2,4,1,24,280845,11701
list-d-none,2,4,1,24,266717,11113
list-d-m,2,4,1,24,265022,11042
list-d-s,2,4,1,24,291239,12134
list-il-m,2,4,1,24,365719,15238
list-il-s,2,4,1,24,250068,10419
list-dl-none,2,4,1,24,278043,11585
list-dl-m,2,4,1,24,297240,12385
list-dl-s,2,4,1,24,260728,10863
list-i-none,2,8,1,48,242326,5048
list-i-m,2,8,1,48,343498,7156
list-i-s,2,8,1,48,280054,5834
list-d-none,2,8,1,48,274544,5719
list-d-m,2,8,1,48,285771,5953
list-d-s,2,8,1,48,285066,5938
list-il-none,2,8,1,48,336642,7013
list-il-m,2,8,1,48,362242,7546
list-il-s,2,8,1,48,359549,7490
list-dl-none,2,8,1,48,317496,6614
list-dl-m,2,8,1,48,296463,6176
list-dl-s,2,8,1,48,360143,7502
list-i-m,2,16,1,96,345311,3596
list-i-s,2,16,1,96,323868,3373
list-d-m,2,16,1,96,314905,3280
list-d-s,2,16,1,96,289203,3012
list-il-m,2,16,1,96,521390,5431
list-il-s,2,16,1,96,437574,4558
list-dl-none,2,16,1,96,431440,4494
list-dl-m,2,16,1,96,366415,3816
list-dl-s,2,16,1,96,369376,3847
list-i-m,2,32,1,192,456866,2379
list-i-s,2,32,1,192,371576,1935
list-d-m,2,32,1,192,484846,2525
list-d-s,2,32,1,192,306045,1593
list-il-none,2,32,1,192,764146,3979
list-il-m,2,32,1,192,1095296,5704
list-il-s,2,32,1,192,835203,4350
list-dl-none,2,32,1,192,750862,3910
list-dl-m,2,32,1,192,867467,4518
list-dl-s,2,32,1,192,916486,4773
list-i-none,4,1,1,12,305680,25473
list-i-m,4,1,1,12,303415,25284
list-i-s,4,1,1,12,301631,25135
list-d-none,4,1,1,12,317997,26499
list-d-m,4,1,1,12,309644,25803
list-d-s,4,1,1,12,289290,24107
list-il-none,4,1,1,12,298743,24895
